0.05    391.988771178   390.339680761   393.637861594
0.15    131.910671868   131.136543888   132.684799848
0.25    80.0465615637   79.6709284436   80.4221946838
0.35    57.9084867037   57.6422568371   58.1747165703
0.45    45.6911746717   45.4149847183   45.9673646251
0.55    37.9876121787   37.6943699417   38.2808544158
0.65    32.7939134044   32.532576127    33.0552506817
0.75    29.2596795155   29.0006109642   29.5187480669
0.85    27.1231734005   26.7514182476   27.4949285533
0.95    26.9639315082   26.4186029735   27.5092600429
