0.05    391.83064553    389.447672282   394.213618778
0.15    132.029460195   131.21151876    132.847401631
0.25    80.1623690139   79.7071774004   80.6175606274
0.35    57.9531565409   57.6447632871   58.2615497947
0.45    45.6361005783   45.3997794463   45.8724217103
0.55    37.9558312448   37.6988692391   38.2127932506
0.65    32.7786561725   32.610862039    32.946450306
0.75    29.2929623055   29.0721306398   29.5137939712
0.85    27.0741425527   26.6732058461   27.4750792593
0.95    27.0580102865   26.5771716915   27.5388488814
